Hour_Index,Turbine_ID,Rotor_Speed_RPM,Wind_Speed_mps,Power_Output_kW,Gearbox_Oil_Temp_C,Generator_Bearing_Temp_C,Vibration_Level_mmps,Ambient_Temp_C,Humidity_pct,Maintenance_Label,Target,Split
0,1,15.496714153011231,7.861735698828816,1564.7688538100692,72.61514928204012,73.82923312638331,1.953172608610164,17.896064077536955,67.67434729152909,0,1,train
1,1,15.079831812215703,7.840483498342925,1502.2221826611983,62.86103543198328,72.34091294890887,1.97650489964573,11.110394507823717,52.320234980569225,0,1,train
2,1,17.559488031037795,8.3942330218796,1512.221916522268,62.42282168953773,71.99873074947044,2.189487964209328,11.455170006310912,53.6444025972536,0,1,train
3,1,15.822544912103188,6.779156350028978,1520.8863595004757,55.201649380601125,68.35906975550785,2.0393722471738247,13.692332899977051,61.7136828118997,0,1,train
4,1,15.564464238555136,8.025500668081348,1547.3193249460023,68.29595299214492,86.70373167051523,2.2141970374034736,10.482082395151291,64.19102105597644,1,0,train
5,1,14.156580076640717,7.4866745946028335,1495.6463197526502,63.62349544876803,67.18466602706744,1.8408738015725972,14.65292200385551,66.77767409673342,0,0,train
6,1,15.211587012326016,8.597044646179075,1410.3664816870698,64.44006089746529,82.34470642716197,1.775220333091993,14.7500269775359,77.26516468575363,0,0,train
7,1,14.927989878419666,9.003532897892024,1536.1636025047635,61.774401226974376,76.80697802754207,2.307607313293194,9.820869804450242,75.64643655814007,0,0,train
8,1,14.6013616099848,7.939135912525254,1358.1249541408597,70.2124580866971,79.51766245312922,2.00380006621243,7.327917731632474,45.049461291856645,0,0,train
9,1,16.622920499341372,8.823733076975142,1529.3059245645572,69.48315191855473,71.94838991326333,1.9367668206380453,2.587878765705433,57.71152483760984,0,0,train
10,1,15.09707754934804,8.968644990532889,1429.7946906122647,63.36168926701116,73.0394592343392,1.7072970103735765,11.48060138532288,62.610552721798896,0,0,train
11,1,15.127012239371798,6.750556277200073,1694.5115614486783,64.23331771241929,70.4650638729756,1.8365291689754344,7.584386606243535,54.301716516015965,0,0,train
12,1,14.337261686621789,7.853527193258384,1415.3982983544297,60.887553156099685,80.43363511519637,2.2009973761405264,7.791169883869935,59.15834914818823,0,0,train
13,1,14.807639035218877,8.301547342333613,1496.5288230294757,59.15660981190234,80.7141140725751,2.1503866065373547,13.955159735215236,50.906125452052606,0,0,train
14,1,15.35615983038938,7.978119125661235,1621.805043775651,63.05270987848259,72.7859882754718,2.0756453229481706,19.669199004640596,60.80970805944567,0,0,train
15,1,16.70660495367846,8.87358941563538,1500.9144345740135,63.172303515837285,78.24543366314553,1.7554252926649387,12.681680161910329,50.85309068738722,0,1,train
16,1,16.24894069913991,8.065649158111224,1616.9207646952625,69.36658484544714,76.02825067003336,1.7113033296607525,4.861445679557556,67.41240635045219,0,1,train
17,1,15.227459934604129,9.307142754282427,1339.2516765438772,65.92316929266153,76.29941397124212,2.1563645743554622,3.8152464456095903,46.79543386915724,0,1,train
18,1,15.108711799627386,8.10576364702776,1592.066671571307,63.8663877222532,78.2652415552488,2.220537493092542,0.750985314178843,71.68631243450534,0,1,train
19,1,14.857009065292472,6.06542980449895,1515.065904348328,64.92142530073777,68.34962967242608,1.9949424748857745,16.715841061483893,52.65452350052473,0,1,train
20,1,15.82206015999449,9.896792982653947,1475.461188399713,61.23131917821255,70.55242785187238,1.8368379430069124,9.61449145292948,63.41151974816644,0,1,train
21,1,16.209381970686636,8.537960003691996,1773.4422159061742,65.46882715075974,67.96797366409226,1.9930940687810383,5.184921869669368,69.77180000813073,1,2,train
22,1,14.988416680218004,8.190598705114523,1560.6975709568626,63.255494086136245,78.03064681549543,1.61115408125008,11.681993818931264,60.50629810915167,0,2,train
23,1,14.153206281931595,6.485152775314136,1455.348504793298,69.28199397161737,76.07046872065102,1.7508522442576024,10.86590462925591,63.85317379728837,0,2,train
24,1,13.852280027175,9.389602828146591,1414.4759481120188,59.86469120532202,79.41418830254695,1.9101391227808435,12.09319734586301,52.71820750636667,1,2,train
25,1,15.90512195995656,7.396095627515471,1530.444911987085,66.28603745490054,75.11965907232918,2.174382797762479,17.186781641667636,60.07306372740632,0,2,train
26,1,14.834690385446438,7.31282482466749,1506.835125110383,62.95295584714221,84.44773828063292,1.8648390531557208,5.432937313387924,55.44966826012434,0,2,train
27,1,15.686260190374512,6.387284128810348,1452.8068134210566,70.44475298483682,75.32140009547732,1.7844510444141388,6.423481453700159,66.79597748934675,2,2,train
28,1,16.210398633136638,7.848764034507771,1462.547844090953,58.543919434319086,71.17245317096331,2.0844627523328128,3.4604285016531247,40.09400450422636,1,2,train
29,1,14.228180922243244,9.661301730608152,1466.5752908849631,63.410765467447085,76.58883516218559,1.6775545385650954,14.726908450437836,72.66406855372875,0,2,train
30,1,17.13464124800741,8.226848821980786,1665.546162537892,62.68537288968176,75.43282907261278,1.881423453507929,6.599978329410288,57.36594155132727,1,2,train
31,1,14.762608038793331,9.872005680472304,1498.0557859100452,60.3370417171946,68.5252876276007,1.9789762990507167,0.025192142211754,46.9980715840656,2,0,train
32,1,15.001813611194676,8.755935281791652,1693.3542629429992,67.06937418625404,77.83884183878813,2.02963634627583,15.862178911961212,65.3140001096033,0,0,train
33,1,13.965597643514316,8.20428294200133,1548.1217728428128,67.33528586364444,80.68508709316728,2.0893780289548136,4.275257399642992,65.91316116927982,0,0,train
34,1,14.51356723394764,8.20759826128572,1588.4990467186665,62.67735125677516,71.88881417546861,1.928902271816728,14.760055469233471,74.5255024746237,0,0,train
35,1,14.370299142734886,8.876754649952325,1555.1737010465074,61.44936021036258,66.06164194034109,1.755885979143629,6.653986359093935,71.61937317746775,0,0,train
36,1,13.465934881301072,8.363069603337308,1614.4371535474684,69.28932329394233,71.86571065230923,1.7315985391893287,8.370134295092557,92.53985126087606,0,0,train
37,1,15.681952971294963,7.689733243406544,1532.4166352488442,64.34928472816158,75.48497982496359,2.119031405087383,5.908896583832638,80.9238727568546,0,2,train
38,1,16.123541781691518,10.143205188113887,1465.7411131769354,66.24657270810978,76.62259158187277,2.335058649933644,14.444921471385769,64.96064233225876,0,2,train
39,1,14.741582264182563,9.183482320141003,1449.4557726208136,58.21607257790719,67.09173037192727,2.015801802848811,15.303462315901507,62.3748525162194,0,2,train
40,1,14.281555778747563,7.786552848288153,1531.0907565598004,72.37678108474776,79.2882981160101,1.9680122940073144,9.904918960486556,49.97470635362191,0,2,train
41,1,16.44374720968576,6.085092630390478,1585.1944467564686,68.84169727152502,77.77346397111815,2.1466346729488706,4.478891057264335,67.61571841297597,0,2,train
42,1,14.153066262752336,7.95475037626068,1243.565801853931,70.71362941646916,65.51626389908539,2.119818665165828,9.159646053972349,62.851753246496536,0,2,train
43,1,15.024510174258944,8.49799829124545,1645.1143607795043,69.79635413042604,85.76591228755778,1.84653048742239,14.36160318360339,61.83342005738352,2,2,train
44,1,14.12443821196804,7.765151666410692,1401.2770792327076,62.54418235625271,68.95438805219507,2.3178288264405102,6.215469547442021,51.249211771318826,0,2,train
45,1,15.34175597577716,9.876170839215886,1595.042383818605,62.11548172168799,70.50792664325822,2.098383834301301,3.398833964896789,78.31458765854353,0,2,train
46,1,15.142050091917568,9.037158464944625,1469.0256896517394,59.15091483914495,74.4600751782347,2.305420251978496,6.921070776161443,74.36183468077766,0,2,train
47,1,15.275635157887407,8.27872303497066,1254.7735398684267,60.49353090667666,74.45685667955573,1.9889030083404653,11.29694654499847,63.02348290331643,0,2,train
48,1,15.319537578868715,8.193278061849385,1659.6142943901634,68.00526972105769,71.77862409916025,2.2711940770616383,6.301906152853238,53.50752721666291,2,0,train
49,1,15.1202956317119,8.51443883405875,1571.161487808889,59.376789540810655,67.32942914632189,2.2555353643797016,11.661570059897958,52.51513463443446,0,0,train
50,1,16.27546324865362,7.908433939350163,1593.7072520315178,62.15336934725611,77.06856399976037,2.268417700861183,-3.0439400484218773,53.44914716175922,0,0,train
51,1,16.489045173884477,8.877825168480113,1456.634967322815,63.288456806878,66.34563448117217,2.2888677583963624,14.430317801230766,58.62922178958147,0,0,train
52,1,12.970769144906011,9.961303471963635,1473.675828742804,67.67404645040634,84.52953618463496,2.0455204641860982,9.026648690612602,74.19672977543745,0,0,train
53,1,15.12804106855846,7.518661650720275,1385.1945093844258,61.98871898558912,65.90349775235035,2.182921103118817,-0.8744125132654865,80.32142525959219,0,1,train
